Moviename'; 'Userscore';Author'
horrible-bosses-2;8;TheQuietGamer
horrible-bosses-2;8;imthenoob
the-babadook;9;Spangle
whiplash;9;grandpajoe6191
whiplash;10;imthenoob
the-homesman;8;Rutger-Kikkert
mad-max-fury-road;9;Compi24
the-hunger-games-mockingjay---part-1;9;csw12
the-disappearance-of-eleanor-rigby-her;8;beingryanjude
whiplash;10;MovieGuys
foxcatcher;9;BradySmith
big-hero-6;9;demolisher7778
night-at-the-museum-secret-of-the-tomb;8;TheQuietGamer
the-theory-of-everything;8;MovieGuys
dumb-and-dumber-to;8;imthenoob
big-hero-6;8;csw12
horrible-bosses-2;8;Meth-dude
foxcatcher;9;bfoore90
whiplash;10;FilmVirtue
the-theory-of-everything;8;beingryanjude
the-theory-of-everything;8;csw12
predestination;8;Spangle
whiplash;10;anshiman
the-theory-of-everything;8;Compi24
into-the-woods;8;TheQuietGamer
whiplash;8;beingryanjude
predestination;10;NikolayG
coherence;10;NikolayG
into-the-woods;8;DanBurrito
fury;8;TheQuietGamer
coherence;8;Spangle
fury;8;csw12
into-the-woods;8;Spangle
foxcatcher;8;EpicLadySponge
the-hunger-games-mockingjay---part-1;8;Jacob
the-interview;10;imthenoob
the-theory-of-everything;8;Spangle
fury;8;Meth-dude
big-hero-6;9;TheQuietGamer
mad-max-fury-road;10;dharma
the-hunger-games-mockingjay---part-1;9;TheQuietGamer
honeymoon;9;TheQuietGamer
big-hero-6;8;Rox22
the-hunger-games-mockingjay---part-1;10;Tss5078
whiplash;8;Spangle
dumb-and-dumber-to;8;TheQuietGamer
the-theory-of-everything;10;BarneyOnMT
the-hobbit-the-battle-of-the-five-armies;8;Compi24
the-theory-of-everything;9;Futuredirector
the-theory-of-everything;10;Pamuditha007
whiplash;10;Compi24
annabelle;10;sarak
gone-girl;8;BradySmith
the-equalizer;8;Tss5078
the-good-lie;9;csw12
big-hero-6;8;Jacob
whiplash;9;BradySmith
whiplash;8;SEROJ
no-good-deed-2014;8;Meth-dude
big-hero-6;8;imthenoob
big-hero-6;9;moonman1994
big-hero-6;8;Compi24
whiplash;10;bfoore90
horns;8;Meth-dude
big-hero-6;10;FreedomFighters
the-hunger-games-mockingjay---part-1;10;Trev29
whiplash;9;diogomendes
gone-girl;8;Spangle
horns;9;TheQuietGamer
gone-girl;9;TheQuietGamer
tusk;8;TheQuietGamer
the-interview;9;TheQuietGamer
tusk;8;Meth-dude
the-hobbit-the-battle-of-the-five-armies;8;MovieManiac83
the-guest;8;Spangle
big-hero-6;8;homer4president
the-giver;10;Patrick94
big-hero-6;10;Th3GreenHorne7
big-hero-6;8;CineAutoctono
dawn-of-the-planet-of-the-apes;8;homer4president
the-guest;9;Meth-dude
big-hero-6;8;DanBurrito
the-hundred-foot-journey;9;MovieGuys
how-to-train-your-dragon-2;10;FreedomFighters
big-hero-6;9;EpicLadySponge
how-to-train-your-dragon-2;9;SkyrimGuy935
the-guest;8;EpicLadySponge
the-giver;10;Tss5078
big-hero-6;9;Futuredirector
the-equalizer;10;Compi24
how-to-train-your-dragon-2;8;EpicLadySponge
whiplash;8;Epik_Ninnja
the-wind-rises;10;Iky009
gone-girl;9;beingryanjude
gone-girl;8;anshiman
gone-girl;8;Compi24
fury;9;Compi24
lets-be-cops;8;Meth-dude
whiplash;10;Futuredirector
whiplash;10;AaronWasserman1
the-wind-rises;9;grandpajoe6191
dawn-of-the-planet-of-the-apes;8;dharma
whiplash;10;MasterRiley
the-hunger-games-mockingjay---part-1;8;BarneyOnMT
dawn-of-the-planet-of-the-apes;10;dev92
the-purge-anarchy;8;FilmVirtue
earth-to-echo;8;csw12
radio-free-albemuth;10;Tss5078
gone-girl;9;potatoes351
how-to-train-your-dragon-2;8;csw12
x-men-days-of-future-past;9;Dalek
mad-max-fury-road;8;BradySmith
cold-in-july;8;Spangle
gone-girl;9;dharma
mr-peabody-sherman;8;reviewmatt
gone-girl;9;Trev29
fury;8;MasterRiley
x-men-days-of-future-past;9;TheChaser1985
chef;10;MovieGuys
x-men-days-of-future-past;9;Tss5078
gone-girl;8;JawsLaxerDrama
how-to-train-your-dragon-2;8;Jacob
how-to-train-your-dragon-2;10;vahn
the-purge-anarchy;8;Tss5078
dawn-of-the-planet-of-the-apes;9;TheQuietGamer
how-to-train-your-dragon-2;8;Rox22
mr-peabody-sherman;8;EpicLadySponge
the-purge-anarchy;8;Patrick94
the-fault-in-our-stars;9;MasterRiley
mad-max-fury-road;10;Viper8787
chef;8;imthenoob
neighbors;8;homer4president
chef;8;beingryanjude
gone-girl;8;diogomendes
the-signal-2014;10;Patrick94
dawn-of-the-planet-of-the-apes;10;Viper8787
x-men-days-of-future-past;8;diogomendes
x-men-days-of-future-past;9;Viper8787
neighbors;8;Compi24
dawn-of-the-planet-of-the-apes;8;Compi24
neighbors;9;TheQuietGamer
dawn-of-the-planet-of-the-apes;9;BradySmith
dawn-of-the-planet-of-the-apes;9;shprea
ida;8;Spangle
ida;9;EpicLadySponge
gone-girl;8;Tokyochuchu
x-men-days-of-future-past;10;RvwFromUpHere
how-to-train-your-dragon-2;10;nestoryavith
filth;9;TheQuietGamer
dawn-of-the-planet-of-the-apes;8;beingryanjude
muppets-most-wanted;8;Jacob
locke;9;LaGuerta
filth;8;Tokyochuchu
only-lovers-left-alive;9;Spangle
x-men-days-of-future-past;8;grandpajoe6191
blue-ruin;8;Spangle
x-men-days-of-future-past;8;Compi24
dawn-of-the-planet-of-the-apes;9;diogomendes
open-grave;8;Meth-dude
locke;8;Spangle
locke;8;BradySmith
gone-girl;9;MovieGuys
locke;8;diogomendes
mad-max-fury-road;8;Tokyochuchu
gone-girl;10;bfoore90
mad-max-fury-road;8;imthenoob
gone-girl;8;MovieManiac83
mad-max-fury-road;8;MovieGuys
mad-max-fury-road;8;diogomendes
neighbors;9;SythusRATINGS
gone-girl;8;jbrown8989
snowpiercer;8;grandpajoe6191
snowpiercer;8;Tss5078
snowpiercer;8;oxana
snowpiercer;8;BradySmith
gone-girl;10;AaronWasserman1
locke;8;EpicLadySponge
neighbors;8;EpicLadySponge
snowpiercer;8;Meth-dude
blood-ties;9;NikolayG
the-fault-in-our-stars;8;diogomendes
dawn-of-the-planet-of-the-apes;8;Spangle
snowpiercer;9;SkyrimGuy935
dawn-of-the-planet-of-the-apes;10;FreedomFighters
x-men-days-of-future-past;8;Rox22
godzilla-2014;8;Viper8787
dawn-of-the-planet-of-the-apes;10;Meth-dude
the-missing-picture;9;EpicLadySponge
x-men-days-of-future-past;9;TheQuietGamer
the-lego-movie;9;MasterRiley
